Rk,Name,Inducted,Yrs,From,To,ASG,WAR/pos,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,GDP,SF,SH,BA,OBP,SLG,OPS
190,Eppa Rixey,1963,21,1912,1933,0,-1.4,694,1666,1522,95,291,33,4,3,111,2,2,49,220,,2,,87,0.191,0.221,0.224,0.445
191,Phil Rizzuto,1994,13,1941,1956,5,40.8,1661,6719,5816,877,1588,239,62,38,563,149,58,651,398,35,107,2,193,0.273,0.351,0.355,0.706
192,Robin Roberts,1976,19,1948,1966,7,2.9,688,1784,1525,107,255,55,10,5,103,3,1,135,372,0,37,6,108,0.167,0.238,0.226,0.464
193,Brooks Robinson,1983,23,1955,1977,18,78.4,2896,11782,10654,1232,2848,482,68,268,1357,28,22,860,990,120,297,114,101,0.267,0.322,0.401,0.723
194,Frank Robinson,1982,21,1956,1976,14,107.3,2808,11742,10006,1829,2943,528,72,586,1812,204,77,1420,1532,218,270,102,17,0.294,0.389,0.537,0.926
195,Jackie Robinson,1962,10,1947,1956,6,61.4,1382,5804,4877,947,1518,273,54,137,734,197,76,740,291,61,113,9,104,0.311,0.409,0.474,0.883
196,Wilbert Robinson,1945,17,1886,1902,0,13.9,1371,5430,5075,637,1388,212,51,18,722,196,,286,323,,,,42,0.273,0.316,0.346,0.662
197,Ivan Rodriguez,2017,21,1991,2011,14,68.7,2543,10270,9592,1354,2844,572,51,311,1332,127,64,513,1474,67,337,76,31,0.296,0.334,0.464,0.798
198,Edd Roush,1962,18,1913,1931,0,45.3,1967,8147,7363,1099,2376,339,182,68,981,268,92,484,260,,,,256,0.323,0.369,0.446,0.815
199,Red Ruffing,1967,22,1924,1947,6,13.5,882,2083,1937,207,521,98,13,36,273,1,1,97,266,0,13,,43,0.269,0.306,0.389,0.695
200,Amos Rusie,1977,10,1889,1901,0,0.6,487,1765,1730,209,429,42,29,8,176,25,,27,186,,,,2,0.248,0.262,0.32,0.582
201,Babe Ruth,1936,22,1914,1935,2,162.1,2503,10623,8399,2174,2873,506,136,714,2214,123,117,2062,1330,,2,,113,0.342,0.474,0.69,1.164
202,Nolan Ryan,1999,27,1966,1993,8,-2.3,427,957,852,40,94,10,2,2,36,3,3,38,371,0,11,2,65,0.11,0.148,0.134,0.282
203,Ryne Sandberg,2005,16,1981,1997,10,68,2164,9282,8385,1318,2386,403,76,282,1061,344,107,761,1260,59,139,71,31,0.285,0.344,0.452,0.795
204,Ron Santo,2012,15,1960,1974,9,70.5,2243,9397,8143,1138,2254,365,67,342,1331,35,41,1108,1343,94,256,94,13,0.277,0.362,0.464,0.826
205,Ray Schalk,1955,18,1912,1929,0,28.6,1762,6240,5306,579,1345,199,49,11,593,177,69,638,358,,,,214,0.253,0.34,0.316,0.656
206,Mike Schmidt,1995,18,1972,1989,12,106.8,2404,10062,8352,1506,2234,408,59,548,1595,174,92,1507,1883,201,156,108,16,0.267,0.38,0.527,0.908
207,Red Schoendienst,1989,19,1945,1963,10,42.3,2216,9224,8479,1223,2449,427,78,84,773,89,60,606,346,30,180,19,97,0.289,0.337,0.387,0.724
208,Tom Seaver,1992,20,1967,1986,12,3.9,582,1552,1315,99,202,28,5,12,86,4,0,108,485,0,22,4,121,0.154,0.219,0.21,0.429
209,Joe Sewell,1977,14,1920,1933,0,53.7,1903,8333,7132,1141,2226,436,68,49,1054,74,72,842,114,,,,275,0.312,0.391,0.413,0.804
210,Al Simmons,1953,20,1924,1944,3,68.8,2215,9519,8759,1507,2927,539,149,307,1828,88,65,615,737,2,23,,111,0.334,0.38,0.535,0.915
211,George Sisler,1939,15,1915,1930,0,54,2055,9013,8267,1284,2812,425,164,102,1178,375,127,472,327,,,,226,0.34,0.379,0.468,0.847
212,Enos Slaughter,1985,19,1938,1959,10,55.3,2380,9086,7946,1247,2383,413,148,169,1304,71,55,1018,538,103,139,10,73,0.3,0.382,0.453,0.834
213,Ozzie Smith,2002,19,1978,1996,15,76.9,2573,10778,9396,1257,2460,402,69,28,793,580,148,1072,589,79,167,63,214,0.262,0.337,0.328,0.666
214,John Smoltz,2015,21,1988,2009,8,2.6,709,1167,948,77,151,26,2,5,61,3,2,79,365,0,15,1,136,0.159,0.226,0.207,0.433
215,Duke Snider,1980,18,1947,1964,8,66.3,2143,8237,7161,1259,2116,358,85,407,1333,99,73,971,1237,154,166,32,52,0.295,0.38,0.54,0.919
216,Billy Southworth,2008,13,1913,1929,0,21,1192,4925,4359,661,1296,173,91,52,561,138,85,402,148,,,,152,0.297,0.359,0.415,0.773
217,Warren Spahn,1973,21,1942,1965,17,7.3,783,2056,1872,141,363,57,6,35,189,4,2,94,487,0,23,14,68,0.194,0.234,0.287,0.52
218,Al Spalding,1939,8,1871,1878,0,6.8,411,1988,1959,417,613,86,19,2,338,18,3,29,26,,5,,,0.313,0.323,0.379,0.702
219,Tris Speaker,1937,22,1907,1928,0,134.1,2789,12011,10195,1882,3514,792,222,117,1531,436,157,1381,393,,,,309,0.345,0.428,0.5,0.928
220,Willie Stargell,1988,21,1962,1982,7,57.5,2360,9027,7927,1194,2232,423,55,475,1540,17,16,937,1936,227,143,75,9,0.282,0.36,0.529,0.889
221,Casey Stengel,1966,14,1912,1925,0,20.1,1277,4870,4288,575,1219,182,89,60,535,131,60,437,453,,,,105,0.284,0.356,0.41,0.766
222,Bruce Sutter,2006,12,1976,1988,6,-0.4,661,121,102,6,9,0,0,0,6,1,0,7,50,0,1,1,10,0.088,0.153,0.088,0.241
223,Don Sutton,1998,23,1966,1988,4,-1.6,611,1559,1354,64,195,15,1,0,64,1,0,60,365,0,29,3,136,0.144,0.183,0.157,0.34
224,Bill Terry,1954,14,1923,1936,3,54.2,1721,7109,6428,1120,2193,373,112,154,1078,56,6,537,449,,38,,137,0.341,0.393,0.506,0.899
225,Frank Thomas,2014,19,1990,2008,5,73.9,2322,10075,8199,1494,2468,495,12,521,1704,32,23,1667,1397,168,226,121,0,0.301,0.419,0.555,0.974
226,Jim Thome,2018,22,1991,2012,5,72.9,2543,10313,8422,1583,2328,451,26,612,1699,19,20,1747,2548,173,165,74,1,0.276,0.402,0.554,0.956
227,Sam Thompson,1974,15,1885,1906,0,44.4,1410,6526,5998,1261,1988,343,161,126,1308,232,,452,234,,,,13,0.331,0.384,0.505,0.89
228,Joe Tinker,1946,15,1902,1916,0,53.1,1806,7149,6441,774,1690,263,114,31,785,336,12,416,526,,,,285,0.262,0.308,0.353,0.661
229,Joe Torre,2014,18,1960,1977,9,57.6,2209,8802,7874,996,2342,344,59,252,1185,23,29,779,1094,127,284,50,13,0.297,0.365,0.452,0.817
230,Alan Trammell,2018,20,1977,1996,6,70.7,2293,9376,8288,1231,2365,412,55,185,1003,236,109,850,874,48,156,76,124,0.285,0.352,0.415,0.767
231,Pie Traynor,1948,17,1920,1937,2,36.3,1941,8297,7559,1183,2416,371,164,58,1273,158,46,472,278,,47,,231,0.32,0.362,0.435,0.797
232,Dazzy Vance,1955,16,1915,1935,0,-2.6,442,1114,971,68,146,23,1,7,75,1,0,79,287,,4,,55,0.15,0.219,0.198,0.417
